ticker_wiki,nombre,sector_icb,pais,sede
AGS,Ageas,Insurance,Belgium,Brussels
AIRP,Air Liquide,Chemicals,France,Paris
AIR,Airbus,Industrial Goods and Services,France,Blagnac
AKERBP,Aker BP,Energy,Norway,Lysaker
ALV,Allianz,Insurance,Germany,Munich
ALO,Alstom,Industrial Goods and Services,France,Saint-Ouen-sur-Seine
AIXA,AIXTRON,Technology,Germany,Herzogenrath
ALC,Alcon,Health Care,Switzerland,Fribourg
AMBU B,Ambu,Health Care,Denmark,Ballerup
AAL,Anglo American plc,Basic Resources,United Kingdom,London
ABI,Anheuser-Busch InBev,"Food, Beverage and Tobacco",Belgium,Leuven
ANTO,Antofagasta plc,Basic Resources,United Kingdom,London
AKE,Arkema,Chemicals,France,Colombes
AHT,Ashtead Group,Industrial Goods and Services,United Kingdom,London
ASMI,ASM International,Technology,Netherlands,Almere
ASML,ASML Holding,Technology,Netherlands,Veldhoven
ASSA B,Assa Abloy,Construction and Materials,Sweden,Stockholm
ABF,Associated British Foods,"Food, Beverage and Tobacco",United Kingdom,London
AZN,AstraZeneca,Health Care,United Kingdom,Cambridge
AUTO,Auto Trader Group,Media,United Kingdom,Manchester
AV,Aviva,Insurance,United Kingdom,London
CS,AXA,Insurance,France,Paris
AZE,Azelis Group,Industrial Goods and Services,Belgium,Antwerp
BME,B&M European Value Retail,Retail,United Kingdom,Luxembourg City
BA,BAE Systems,Industrial Goods and Services,United Kingdom,London
BALD B,Balder,Real Estate,Sweden,Gothenburg
BBY,Balfour Beatty,Construction and Materials,United Kingdom,London
BARC,Barclays,Banks,United Kingdom,London
BOL,Boliden AB,Basic Resources,Sweden,Stockholm
BBVA,Banco Bilbao Vizcaya Argentaria,Banks,Spain,Bilbao
SAN,Banco Santander,Banks,Spain,Madrid
BARN,Barry Callebaut,"Food, Beverage and Tobacco",Switzerland,Zurich
BAS,BASF,Chemicals,Germany,Ludwigshafen
BAYN,Bayer,Health Care,Germany,Leverkusen
BEZ,Beazley,Insurance,United Kingdom,London
BEI,Beiersdorf,Consumer Products and Services,Germany,Hamburg
BEB,Belimo,Construction and Materials,Switzerland,Hinwil
BKG,Berkeley Group Holdings,Consumer Products and Services,United Kingdom,Cobham
BMW,BMW,Automobiles and Parts,Germany,Munich
BNPP,BNP Paribas,Banks,France,Paris
BOL,Bolloré,Industrial Goods and Services,France,Puteaux
BOUY,Bouygues,Construction and Materials,France,Paris
BP,BP,Energy,United Kingdom,London
BNR,Brenntag,Chemicals,Germany,Essen
BT.A,BT Group,Telecommunications,United Kingdom,London
BNZL,Bunzl,Industrial Goods and Services,United Kingdom,London
BRBY,Burberry,Consumer Products and Services,United Kingdom,London
BVI,Bureau Veritas,Industrial Goods and Services,France,Neuilly-sur-Seine
